"","Type","Region","Admit.rate","X4.yr.grad.rate","Total.cost.per.yr.","Avg.need.based.aid","Avg.non.need.based.aid","X..of.non.need.based.aid","Avg.debt.at.graduation","Salary"
"1","Private","MA",7,89,193,47497,0,0,8908,80500
"2","Liberal Arts","SE/MS",20,90,223,41998,25572,14,20431,54600
"3","Liberal Arts","MA",13,88,236,45536,48720,2,22957,52500
"4","Private","NE",5,86,234,48598,23954,1,16702,90900
"5","Private","SE/MS",11,86,280,47133,63649,5,22256,77900
"6","Liberal Arts","W/SW",9,92,253,46039,5000,0,18738,56600
"7","Private","SE/MS",11,87,218,41331,22357,21,24122,64500
"8","Private","W/SW",15,83,190,36772,19019,17,22497,64300
"9","Liberal Arts","SE/MS",24,88,210,42292,34766,14,26397,72300
"10","Liberal Arts","NE",29,86,248,45178,0,0,13415,60100
"11","Liberal Arts","NE",18,86,261,48885,0,0,15496,54100
"12","Private","NE",11,88,281,46770,0,0,17849,70000
"13","Private","NE",6,86,293,50565,0,0,13625,83200
"14","Liberal Arts","W/SW",75,76,22,14225,0,0,16986,40100
"15","Public","SE/MS",27,84,110,17260,7679,7,20852,54100
"16","Liberal Arts","MA",27,87,268,47176,0,0,18462,51400
"17","Private","NE",8,85,227,41767,0,0,24954,94200
"18","Private","W/SW",8,81,230,41901,5000,0,18219,74200
"19","Liberal Arts","NE",14,86,278,50380,0,0,18662,59700
"20","Private","W/SW",5,75,232,45318,13697,1,21987,85700
"21","Liberal Arts","NE",18,87,256,42457,31571,1,22495,49200
"22","Liberal Arts","MA",26,89,237,41825,0,0,21491,59400
"23","Liberal Arts","NE",15,89,235,42206,1000,4,23120,58700
"24","Private","MA",6,86,295,50733,0,0,23463,78200
"25","Liberal Arts","NE",38,89,226,35521,40213,2,25446,65200
"27","Liberal Arts","MW",20,81,213,39444,17026,53,18780,44300
"28","Liberal Arts","W/SW",16,82,231,42451,13573,10,20742,41900
"29","Private","MA",14,87,255,39595,0,0,23389,73600
"30","Private","SE/MS",25,85,217,40816,25795,7,29217,61500
"31","Liberal Arts","MA",21,86,294,46009,0,0,13000,56300
"32","Public","SE/MS",46,67,59,7083,2531,9,21645,53100
"33","Liberal Arts","SE/MS",32,84,208,39874,22658,32,27670,60700
"34","Private","MA",12,88,273,38238,39352,3,23593,69800
"35","Private","NE",9,84,268,44105,8704,0,23810,63100
"36","Liberal Arts","SE/MS",74,85,136,28880,20689,91,26740,44100
"37","Liberal Arts","NE",37,86,244,41786,16473,14,23857,44900
"38","Liberal Arts","NE",16,85,260,45035,5000,0,18736,55600
"39","Liberal Arts","MW",23,88,238,38382,4584,11,22641,52600
"40","Private","MW",17,88,262,40509,6111,14,23577,66300
"41","Private","MA",9,85,282,43899,0,0,24536,82400
"42","Liberal Arts","MA",17,83,283,43183,0,0,22015,56400
"43","Private","NE",31,89,266,37716,21634,4,20481,70000
"44","Private","MW",8,89,297,43792,0,0,23852,65500
